Location ID,Depot Id,Product Code,Day of the Week,Schedule with Wave,Time Code,Priority,Comments 1,Comments 2,Comments 3,Comments 4,Trailer Type
5372,37198,10,Thursday,2,410,2,,,,,8m
5372,37198,5,Thursday,2,410,1,,,,,8m
5376,37198,10,Thursday,2,307,1,,,,,8m
5376,37198,10,Thursday,2,307,2,,,,,8m
5376,37198,5,Thursday,2,307,1,,,,,8m
5377,37198,10,Thursday,2,414,1,,,,,10m
5377,37198,10,Thursday,2,414,2,,,,,10m
5377,37198,5,Thursday,2,414,1,,,,,10m
5380,37198,10,Thursday,2,1444,1,,,,,rigid10m26t
5380,37198,10,Thursday,2,1444,2,,,,,rigid10m26t
5380,37198,5,Thursday,2,1444,1,,,,,rigid10m26t
5383,37198,10,Thursday,2,610,1,,,,,rigid10m18t
5383,37198,10,Thursday,2,610,2,,,,,rigid10m18t
5383,37198,5,Thursday,2,610,1,,,,,rigid10m18t
5404,37198,10,Thursday,2,314,1,,,,,10m
5404,37198,10,Thursday,2,314,2,,,,,10m
5404,37198,5,Thursday,2,314,1,,,,,10m
5408,37198,10,Thursday,2,410,1,,,,,rigid10m26t
5408,37198,10,Thursday,2,410,2,,,,,rigid10m26t
5408,37198,5,Thursday,2,410,1,,,,,rigid10m26t
5418,37198,10,Thursday,2,119,1,,,,,8m
5418,37198,10,Thursday,2,119,2,,,,,8m
5418,37198,5,Thursday,2,119,1,,,,,8m
5430,37198,10,Thursday,2,410,1,,,,,8m
5430,37198,10,Thursday,2,410,2,,,,,8m
5430,37198,5,Thursday,2,410,1,,,,,8m
5432,37198,10,Thursday,2,310,1,,,,,10m
5432,37198,10,Thursday,2,310,2,,,,,10m
5432,37198,5,Thursday,2,315,1,,,,,10m
5453,37198,10,Thursday,2,410,1,,,,,10m
5453,37198,10,Thursday,2,410,2,,,,,10m
5453,37198,10,Thursday,2,410,3,,,,,10m
5453,37198,11,Thursday,2,410,1,,,,,10m
5453,37198,11,Thursday,2,410,2,,,,,10m
5453,37198,11,Thursday,2,410,3,,,,,10m
5453,37198,5,Thursday,2,410,1,,,,,10m
5460,37198,10,Thursday,2,208,1,,,,,10m
5460,37198,11,Thursday,2,208,1,,,,,10m
5460,37198,5,Thursday,2,208,1,,,,,10m
5465,37198,10,Thursday,2,410,1,,,,,8m
5465,37198,11,Thursday,2,1440,1,,,,,8m
5465,37198,5,Thursday,2,410,1,,,,,8m
5469,37198,10,Thursday,2,2206,1,,,,,13m
5469,37198,11,Thursday,2,2206,1,,,,,13m
5469,37198,5,Thursday,2,2206,1,,,,,13m
5481,37198,10,Thursday,2,410,1,,,,,13m
5481,37198,11,Thursday,2,410,1,,,,,13m
5481,37198,5,Thursday,2,410,1,,,,,13m
5486,37198,10,Thursday,2,213,1,,,,,rigid10m18t
5486,37198,11,Thursday,2,213,1,,,,,rigid10m18t
5486,37198,5,Thursday,2,213,1,,,,,rigid10m18t
5487,37198,10,Thursday,2,143,1,,,,,8m
5487,37198,11,Thursday,2,143,1,,,,,8m
5487,37198,5,Thursday,2,143,1,,,,,8m
5501,37198,10,Thursday,2,1441,1,,,,,8m
5501,37198,11,Thursday,2,1441,1,,,,,8m
5501,37198,5,Thursday,2,1441,1,,,,,8m
5508,37198,10,Thursday,2,217,1,,,,,rigid8m16t
5509,37198,10,Thursday,2,412,1,,,,,rigid10m18t
5509,37198,11,Thursday,2,412,1,,,,,rigid10m18t
5509,37198,11,Thursday,2,412,2,,,,,rigid10m18t
5513,37198,10,Thursday,2,410,1,,,,,rigid10m26t
5513,37198,11,Thursday,2,410,1,,,,,rigid10m26t
5513,37198,11,Thursday,2,410,2,,,,,rigid10m26t
5518,37198,10,Thursday,2,408,1,,,,,10m
5518,37198,11,Thursday,2,408,1,,,,,10m
5518,37198,11,Thursday,2,408,2,,,,,10m
5539,37198,10,Thursday,2,410,1,,,,,13m
5539,37198,10,Thursday,2,410,2,,,,,13m
5539,37198,10,Thursday,2,410,3,,,,,13m
5581,37198,10,Thursday,2,607,1,,,,,rigid10m18t
5581,37198,11,Thursday,2,607,1,,,,,rigid10m18t
5581,37198,5,Thursday,2,607,1,,,,,rigid10m18t
5599,37198,10,Thursday,2,119,1,,,,,rigid8m16t
5599,37198,11,Thursday,2,119,1,,,,,rigid8m16t
5599,37198,5,Thursday,2,119,1,,,,,rigid8m16t
5600,37198,10,Thursday,2,414,1,,,,,10m
5600,37198,11,Thursday,2,1535,1,,,,,10m
5600,37198,5,Thursday,2,414,1,,,,,10m
5603,37198,10,Thursday,2,918,1,,,,,13m
5611,37198,10,Thursday,2,1303,1,,,,,8m
5611,37198,11,Thursday,2,1303,1,,,,,8m
5611,37198,11,Thursday,2,1303,2,,,,,8m
5644,37198,10,Thursday,2,812,1,,,,,10m
5644,37198,11,Thursday,2,812,1,,,,,10m
5644,37198,11,Thursday,2,812,2,,,,,10m
5685,37198,10,Thursday,2,1439,1,,,,,8m
5685,37198,11,Thursday,2,1439,1,,,,,8m
5685,37198,11,Thursday,2,1439,2,,,,,8m
5688,37198,10,Thursday,2,110,1,,,,,10m
5688,37198,11,Thursday,2,110,1,,,,,10m
5688,37198,11,Thursday,2,110,2,,,,,10m
5692,37198,10,Thursday,2,410,1,,,,,rigid10m26t
5692,37198,11,Thursday,2,410,1,,,,,rigid10m26t
5692,37198,11,Thursday,2,410,2,,,,,rigid10m26t
5714,37198,5,Thursday,2,1439,1,,,,,rigid10m26t
5727,37198,10,Thursday,2,410,1,,,,,8m
5727,37198,10,Thursday,2,410,2,,,,,8m
5727,37198,5,Thursday,2,410,1,,,,,8m
5736,37198,10,Thursday,2,119,1,,,,,13m
5736,37198,10,Thursday,2,119,2,,,,,13m
5736,37198,5,Thursday,2,119,1,,,,,13m
5777,37198,10,Thursday,2,410,1,,,,,8m
5777,37198,10,Thursday,2,410,2,,,,,8m
5777,37198,5,Thursday,2,410,1,,,,,8m
5784,37198,10,Thursday,2,207,1,,,,,10m
5784,37198,10,Thursday,2,207,2,,,,,10m
5784,37198,5,Thursday,2,207,1,,,,,10m
5841,37198,10,Thursday,2,25,1,,,,,rigid10m26t
5841,37198,10,Thursday,2,25,2,,,,,rigid10m26t
5841,37198,5,Thursday,2,25,1,,,,,rigid10m26t
5842,37198,10,Thursday,2,414,1,,,,,10m
5842,37198,10,Thursday,2,414,2,,,,,10m
5842,37198,5,Thursday,2,414,1,,,,,10m
5870,37198,10,Thursday,2,410,1,,,,,rigid10m18t
5870,37198,10,Thursday,2,410,2,,,,,rigid10m18t
5870,37198,5,Thursday,2,410,1,,,,,rigid10m18t
5878,37198,10,Thursday,2,148,1,,,,,rigid10m26t
5878,37198,10,Thursday,2,148,2,,,,,rigid10m26t
5878,37198,5,Thursday,2,148,1,,,,,rigid10m26t
5906,37198,10,Thursday,2,107,1,,,,,10m
5906,37198,11,Thursday,2,107,1,,,,,10m
5906,37198,5,Thursday,2,107,1,,,,,10m
5907,37198,10,Thursday,2,210,1,,,,,rigid10m18t
5907,37198,11,Thursday,2,210,1,,,,,rigid10m18t
5907,37198,5,Thursday,2,210,1,,,,,rigid10m18t
5909,37198,10,Thursday,2,139,1,,,,,10m
5909,37198,11,Thursday,2,139,1,,,,,10m
5909,37198,5,Thursday,2,139,1,,,,,10m
5911,37198,10,Thursday,2,2247,1,,,,,rigid10m18t
5911,37198,11,Thursday,2,2247,1,,,,,rigid10m18t
5911,37198,5,Thursday,2,2247,1,,,,,rigid10m18t
5912,37198,10,Thursday,2,321,1,,,,,13m
5912,37198,11,Thursday,2,321,1,,,,,13m
5912,37198,5,Thursday,2,321,1,,,,,13m
5915,37198,10,Thursday,2,1614,1,,,,,10m
5915,37198,11,Thursday,2,1614,1,,,,,10m
5915,37198,5,Thursday,2,1614,1,,,,,10m
5923,37198,10,Thursday,2,743,1,,,,,rigid8m16t
5923,37198,11,Thursday,2,743,1,,,,,rigid8m16t
5923,37198,5,Thursday,2,743,1,,,,,rigid8m16t
5926,37198,10,Thursday,2,420,1,,,,,13m
5926,37198,11,Thursday,2,420,1,,,,,13m
5926,37198,5,Thursday,2,420,1,,,,,13m
5928,37198,10,Thursday,2,410,1,,,,,rigid10m18t
5928,37198,11,Thursday,2,410,1,,,,,rigid10m18t
5928,37198,5,Thursday,2,410,1,,,,,rigid10m18t
5932,37198,10,Thursday,2,7,1,,,,,8m
5932,37198,11,Thursday,2,7,1,,,,,8m
5932,37198,5,Thursday,2,7,1,,,,,8m
5933,37198,10,Thursday,2,410,1,,,,,rigid10m26t
5939,37198,10,Thursday,2,311,1,,,,,dd
5939,37198,11,Thursday,2,311,1,,,,,dd
5939,37198,11,Thursday,2,311,2,,,,,dd
5939,37198,11,Thursday,2,311,3,,,,,dd
5939,37198,5,Thursday,2,311,1,,,,,dd
5945,37198,11,Thursday,2,310,1,,,,,10m
5945,37198,11,Thursday,2,310,2,,,,,10m
5945,37198,5,Thursday,2,310,1,,,,,10m
5946,37198,11,Thursday,2,410,1,,,,,13m
5946,37198,11,Thursday,2,607,2,,,,,13m
5946,37198,5,Thursday,2,410,1,,,,,13m
5949,37198,11,Thursday,2,410,1,,,,,rigid10m18t
5949,37198,11,Thursday,2,410,2,,,,,rigid10m18t
5949,37198,5,Thursday,2,410,1,,,,,rigid10m18t
5953,37198,11,Thursday,2,19,1,,,,,8m
5953,37198,11,Thursday,2,19,2,,,,,8m
5953,37198,5,Thursday,2,19,1,,,,,8m
5956,37198,11,Thursday,2,212,1,,,,,8m
5956,37198,11,Thursday,2,212,2,,,,,8m
5956,37198,5,Thursday,2,212,1,,,,,8m
5958,37198,11,Thursday,2,314,1,,,,,rigid8m16t
5958,37198,11,Thursday,2,314,2,,,,,rigid8m16t
5958,37198,5,Thursday,2,314,1,,,,,rigid8m16t
5983,37198,11,Thursday,2,113,1,,,,,10m
5983,37198,11,Thursday,2,113,2,,,,,10m
5983,37198,5,Thursday,2,113,1,,,,,10m
5989,37198,10,Thursday,2,410,1,,,,,rigid10m26t
5989,37198,11,Thursday,2,410,1,,,,,rigid10m26t
5989,37198,5,Thursday,2,410,1,,,,,rigid10m26t
6005,37198,10,Thursday,2,410,1,,,,,8m
6005,37198,11,Thursday,2,410,1,,,,,8m
6005,37198,5,Thursday,2,410,1,,,,,8m
6018,37198,10,Thursday,2,907,1,,,,,10m
6018,37198,11,Thursday,2,907,1,,,,,10m
6018,37198,5,Thursday,2,907,1,,,,,10m
6026,37198,10,Thursday,2,307,1,,,,,rigid10m18t
6026,37198,11,Thursday,2,307,1,,,,,rigid10m18t
6026,37198,5,Thursday,2,307,1,,,,,rigid10m18t
6031,37198,10,Thursday,2,312,1,,,,,rigid10m26t
6031,37198,11,Thursday,2,312,1,,,,,rigid10m26t
6031,37198,5,Thursday,2,312,1,,,,,rigid10m26t
6033,37198,10,Thursday,2,414,1,,,,,10m
6033,37198,11,Thursday,2,1532,1,,,,,10m
6033,37198,5,Thursday,2,414,1,,,,,10m
6038,37198,10,Thursday,2,1563,1,,,,,10m
6038,37198,11,Thursday,2,1563,1,,,,,10m
6038,37198,5,Thursday,2,1563,1,,,,,10m
6039,37198,10,Thursday,2,1620,1,,,,,rigid10m18t
6039,37198,11,Thursday,2,548,1,,,,,rigid10m18t
6039,37198,5,Thursday,2,1620,1,,,,,rigid10m18t
6041,37198,10,Thursday,2,410,1,,,,,10m
6041,37198,11,Thursday,2,410,1,,,,,10m
6041,37198,5,Thursday,2,410,1,,,,,10m
6042,37198,10,Thursday,2,119,1,,,,,rigid10m26t
6042,37198,11,Thursday,2,119,1,,,,,rigid10m26t
6042,37198,5,Thursday,2,119,1,,,,,rigid10m26t
6044,37198,10,Thursday,2,314,1,,,,,rigid8m16t
6044,37198,11,Thursday,2,314,1,,,,,rigid8m16t
6044,37198,5,Thursday,2,314,1,,,,,rigid8m16t
6057,37198,10,Thursday,2,919,1,,,,,10m
6057,37198,11,Thursday,2,919,1,,,,,10m
6057,37198,5,Thursday,2,919,1,,,,,10m
6063,37198,10,Thursday,2,118,1,,,,,rigid8m16t
6063,37198,11,Thursday,2,118,1,,,,,rigid8m16t
6063,37198,5,Thursday,2,118,1,,,,,rigid8m16t
6069,37198,10,Thursday,2,314,1,,,,,rigid10m26t
6069,37198,11,Thursday,2,314,1,,,,,rigid10m26t
6069,37198,5,Thursday,2,314,1,,,,,rigid10m26t
6075,37198,10,Thursday,2,894,1,,,,,10m
6075,37198,11,Thursday,2,894,1,,,,,10m
6075,37198,5,Thursday,2,894,1,,,,,10m
6077,37198,10,Thursday,2,217,1,,,,,rigid8m16t
6077,37198,11,Thursday,2,217,1,,,,,rigid8m16t
6077,37198,5,Thursday,2,217,1,,,,,rigid8m16t
6079,37198,10,Thursday,2,410,1,,,,,rigid10m18t
6079,37198,11,Thursday,2,410,1,,,,,rigid10m18t
