Store Id,Grocery,Grocery Trunk,Fresh,Fresh Trunk,Frozen,Frozen Trunk
2520,#N/A,#N/A,30103,30103,37197,30103
2530,#N/A,#N/A,30103,30103,37197,30103
2532,#N/A,#N/A,30053,30053,37197,30053
2537,34517,30103,30103,30103,37197,30103
2538,#N/A,#N/A,30053,30053,37197,30053
2552,#N/A,#N/A,30103,30103,37197,30103
2563,#N/A,#N/A,30053,30053,#N/A,#N/A
2564,#N/A,#N/A,30053,30053,37197,30053
2586,#N/A,#N/A,30053,30053,37197,30053
2590,#N/A,#N/A,30103,30103,37197,30103
2594,#N/A,#N/A,30102,30102,#N/A,#N/A
2606,#N/A,#N/A,30102,30102,#N/A,#N/A
2608,#N/A,#N/A,30102,30102,#N/A,#N/A
2609,#N/A,#N/A,30103,30103,37197,30103
2611,#N/A,#N/A,30102,30102,#N/A,#N/A
2624,#N/A,#N/A,30102,30102,#N/A,#N/A
2628,#N/A,#N/A,30053,30053,37197,30053
2636,#N/A,#N/A,30103,30103,37197,30103
2637,#N/A,#N/A,30053,30053,#N/A,#N/A
2640,#N/A,#N/A,30053,30053,37197,30053
2641,#N/A,#N/A,30053,30053,#N/A,#N/A
2642,#N/A,#N/A,30053,30053,37197,30053
2644,#N/A,#N/A,30103,30103,37197,30103
2650,#N/A,#N/A,30102,30102,#N/A,#N/A
2653,#N/A,#N/A,30053,30053,37197,30053
2657,#N/A,#N/A,30053,30053,#N/A,#N/A
2663,#N/A,#N/A,30053,30053,37197,30053
2668,#N/A,#N/A,30053,30053,37197,30053
2670,#N/A,#N/A,30103,30103,37197,30103
2675,#N/A,#N/A,30052,30052,37197,30052
2679,#N/A,#N/A,34515,34515,37197,34515
2683,#N/A,#N/A,30052,30052,37197,30052
2688,#N/A,#N/A,30052,30052,37197,30052
2695,#N/A,#N/A,30103,30103,37197,30103
2696,#N/A,#N/A,30103,30103,37197,30103
2700,#N/A,#N/A,30052,30052,37197,30052
2704,34517,30103,30103,30103,37197,30103
2708,#N/A,#N/A,30053,30053,37197,30053
2713,#N/A,#N/A,30053,30053,#N/A,#N/A
2724,#N/A,#N/A,30103,30103,37197,30103
2733,#N/A,#N/A,30102,30102,#N/A,#N/A
2763,#N/A,#N/A,30103,30103,37197,30103
2768,#N/A,#N/A,30053,30053,#N/A,#N/A
2770,#N/A,#N/A,30102,30102,#N/A,#N/A
2772,#N/A,#N/A,30102,30102,#N/A,#N/A
2773,#N/A,#N/A,30102,30102,#N/A,#N/A
2780,#N/A,#N/A,30102,30102,#N/A,#N/A
2782,#N/A,#N/A,30103,30103,37197,30103
2785,#N/A,#N/A,30102,30102,#N/A,#N/A
2788,#N/A,#N/A,30053,30053,37197,30053
2793,#N/A,#N/A,30102,30102,#N/A,#N/A
2802,#N/A,#N/A,34515,34515,37197,34515
2811,#N/A,#N/A,30103,30103,37197,30103
2812,#N/A,#N/A,30052,30052,37197,30052
2813,#N/A,#N/A,30102,30102,#N/A,#N/A
2817,#N/A,#N/A,30053,30053,#N/A,#N/A
2819,#N/A,#N/A,30102,30102,#N/A,#N/A
2820,#N/A,#N/A,30102,30102,#N/A,#N/A
2822,#N/A,#N/A,30052,30052,37197,30052
2825,#N/A,#N/A,30053,30053,37197,30053
2833,#N/A,#N/A,30103,30103,37197,30103
2843,#N/A,#N/A,30053,30053,37197,30053
2844,#N/A,#N/A,30102,30102,#N/A,#N/A
2845,#N/A,#N/A,30103,30103,37197,30103
2846,#N/A,#N/A,30102,30102,#N/A,#N/A
2847,#N/A,#N/A,30053,30053,#N/A,#N/A
2849,#N/A,#N/A,30102,30102,#N/A,#N/A
2850,#N/A,#N/A,30102,30102,#N/A,#N/A
2853,#N/A,#N/A,30053,30053,#N/A,#N/A
2869,#N/A,#N/A,30053,30053,37197,30053
2878,#N/A,#N/A,30102,30102,#N/A,#N/A
2880,#N/A,#N/A,34515,34515,37197,34515
2900,#N/A,#N/A,30102,30102,#N/A,#N/A
2919,#N/A,#N/A,30053,30053,37197,30053
2924,#N/A,#N/A,30103,30103,37197,30103
2927,#N/A,#N/A,30053,30053,37197,30053
2933,#N/A,#N/A,30102,30102,#N/A,#N/A
2949,#N/A,#N/A,30102,30102,#N/A,#N/A
2950,#N/A,#N/A,30102,30102,#N/A,#N/A
2959,#N/A,#N/A,30102,30102,#N/A,#N/A
2960,#N/A,#N/A,30102,30102,#N/A,#N/A
2964,#N/A,#N/A,30102,30102,#N/A,#N/A
2966,#N/A,#N/A,34515,34515,37197,34515
2972,#N/A,#N/A,30053,30053,#N/A,#N/A
2974,#N/A,#N/A,30102,30102,#N/A,#N/A
2975,#N/A,#N/A,30103,30103,37197,30103
2990,#N/A,#N/A,30053,30053,37197,30053
2994,#N/A,#N/A,30053,30053,37197,30053
2996,#N/A,#N/A,30102,30102,#N/A,#N/A
2997,#N/A,#N/A,30102,30102,#N/A,#N/A
3015,#N/A,#N/A,30103,30103,37197,30103
3020,#N/A,#N/A,30053,30053,37197,30053
3025,#N/A,#N/A,30103,30103,37197,30103
3030,#N/A,#N/A,30053,30053,37197,30053
3036,#N/A,#N/A,30103,30103,37197,30103
3040,#N/A,#N/A,30103,30103,37197,30103
3045,#N/A,#N/A,30053,30053,37197,30053
3047,#N/A,#N/A,30103,30103,37197,30103
3048,#N/A,#N/A,30103,30103,37197,30103
3052,#N/A,#N/A,30052,30052,37197,30052
3054,#N/A,#N/A,30103,30103,37197,30103
3055,#N/A,#N/A,30103,30103,37197,30103
3058,#N/A,#N/A,30103,30103,37197,30103
3062,#N/A,#N/A,30053,30053,#N/A,#N/A
3073,#N/A,#N/A,30102,30102,#N/A,#N/A
3075,#N/A,#N/A,30103,30103,37197,30103
3076,#N/A,#N/A,30102,30102,#N/A,#N/A
3080,#N/A,#N/A,30053,30053,#N/A,#N/A
3083,#N/A,#N/A,30053,30053,#N/A,#N/A
3084,#N/A,#N/A,30102,30102,#N/A,#N/A
3095,#N/A,#N/A,30053,30053,37197,30053
3097,#N/A,#N/A,30053,30053,37197,30053
