Location Id,Depot Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
57932,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57932,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57940,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57940,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57942,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57942,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57944,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57944,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57945,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57945,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57948,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57948,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57954,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57954,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57956,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57956,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57988,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57988,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57999,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
57999,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
58006,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
58006,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
58008,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
58008,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
58009,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
58009,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2125,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2125,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
3145,30110,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
3145,30110,8,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
4460,30053,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
