Location Id,Location Name,Location Type,Format,Dotcom Locations,Night to Day Locations,Number of Bays,Drop Sequence,Paired Location,Last Drop Restriction,Council Restricted,Country,Cage Consolidation,Vol Before Cage Consolidation
6523,Deal Mill Hill,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6531,Hawkhurst Superstore,Store,Superstore,No,No,1,,,No,Yes,England,Yes,7
6575,London. Norwood Hill,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6630,Chatham Lords Wood,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6637,Croydon Southend Rd Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6650,Ramsgate High Street,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6664,Sutton Angel Hill,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6675,Bexley Blackfen Rd,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6690,Worcester Park Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6698,Sutton Lower Road,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6706,Herne Bay,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6725,Wimbledon Morden Rd,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6763,Tooting London Rd,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6765,"Croydon, Saffron Square",Store,Express,No,No,1,,,No,Yes,England,Yes,7
6774,Ashford High St,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6784,Strood Darnley Road,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6785,Woolwich,Store,Extra,No,No,1,,,No,No,England,Yes,7
6790,Summerstown Garratt Express,Store,Express,No,No,1,,,No,No,England,Yes,7
6802,Gravesend Riverview,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6827,Hastings Old London Rd,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6835,Sittingbourne Canterbury Road,Store,Express,No,No,1,,,No,No,England,Yes,7
6843,Sydenham Road,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6885,Tunbridge Wells St Johns,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6981,Bromley high street,Store,Express,No,No,1,,,No,Yes,England,Yes,7
6999,Dorking Reigate Road,Store,Express,No,No,1,,,No,Yes,England,Yes,7
57817,BKR 666BRP Thamesmead DC,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57844,BKRCC 138 Eastbourne,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57880,BKRCC 221 Crayford,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57881,BKRCC 222 Broadstairs,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57890,BKRCC 258 Tunbridge Wells,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57906,BKRCC 295 Folkestone,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57912,BKRCC 307 Brighton,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57917,BKRCC 313 Sidcup,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57952,BKRCC 375 Medway,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57986,BKRCC 532 Byfleet,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57989,BKRCC 536 Croydon,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57991,BKRCC 550 Canterbury,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57992,BKRCC 556 Hastings,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
57994,BKRCC 560 Redhill,Store,Booker,No,No,1,,,No,Yes,England,Yes,7
38507,Snodland RSU,Supplier Collection,Fresh RDC,No,No,1,,,No,No,England,No,1000
999,Kent Fareshare,Fare Share,Fare Share,No,No,1,,,No,No,England,No,1000
6029,Durham Mkt Place,Store,Metro,No,No,1,,,No,Yes,England,Yes,7
2058,Barking Express,Store,Express,No,No,1,,,No,,England,Yes,7
2065,Bar Hill Cambs Extra,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2072,Barking,Store,Superstore,No,No,1,,,No,,England,Yes,7
2073,Basildon Extra,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2078,Barkingside,Store,Superstore,No,No,1,,,No,,England,Yes,7
2082,Basildon 2,Store,Superstore,No,No,1,,,No,,England,Yes,7
2092,Bethnal Green ,Store,Superstore,No,No,1,,,No,,England,Yes,7
2097,Bishopsgate Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2101,Bishops Stortford,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2134,Braintree Town Centre,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
2152,Bromley By Bow,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
2161,Stockwell Express,Store,Express,No,No,1,,,No,,England,Yes,7
2166,Bury St Edmunds,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2169,Brandon,Store,Superstore,No,No,1,,,No,,England,Yes,7
2172,Braintree Grt Notley,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2174,Braintree Marks Farm,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2176,Brentwood Express,Store,Express,No,No,1,,,No,,England,Yes,7
2179,Gallions Reach Extra,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2190,Burnham On Crouch Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2218,Caister,Store,Superstore,No,No,1,,,No,,England,Yes,7
2239,Canary Wharf Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2249,London Katharine Dock,Store,Express,No,No,1,,,No,,England,Yes,7
2265,Cheapside Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2271,Cheshunt ,Store,Superstore,No,No,1,,,No,,England,Yes,7
2297,Collier Row ,Store,Superstore,No,No,1,,,No,,England,Yes,7
2299,Covent Garden Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2310,Colchester 2,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2326,Colchester Extra,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2327,Chelmsford 1,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
2329,Cheshunt Extra,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2330,Chelmsford 2,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2357,Chafford Hundred Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2373,Dartford Express,Store,Express,No,No,1,,,No,,England,Yes,7
2377,Dean Street Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2391,Danbury Express,Store,Express,No,No,1,,,No,,England,Yes,7
2393,Downham Market,Store,Superstore,No,No,1,,,No,,England,Yes,7
2394,Lakeside Extra,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2436,Dereham,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2469,Epping,Store,Superstore,No,No,1,,,No,,England,Yes,7
2470,Ely,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2502,Belton Yarmouth Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2506,Armada Chafford Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2527,Felixstowe Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2554,Forest Gate Express,Store,Express,No,No,1,,,No,,England,Yes,7
2568,Goodge Street Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2569,Goodmayes Extra,Store,Extra,No,No,1,,,No,,England,Yes,7
2574,Great Dunmow,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2600,Grays Express,Store,Express,No,No,1,,,No,,England,Yes,7
2603,Gants Hill Ilford Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2618,Harlow Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2619,Hackney ,Store,Metro,No,Yes,1,,,No,,England,Yes,7
2621,Great Bentley Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2634,Harlow Church Langley,Store,Superstore,No,No,1,,,No,,England,Yes,7
2639,Harlow Edinburgh Way,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2665,Grove Rd Norwich Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2671,Hackney Morning Lane,Store,Superstore,No,No,1,,,No,,England,Yes,7
2684,Great Baddow Express,Store,Express,No,No,1,,,No,,England,Yes,7
2685,Hornchurch,Store,Superstore,No,No,1,,,No,,England,Yes,7
2697,Hunstanton,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
2709,Hoddesdon Express,Store,Express,No,No,1,,,No,,England,Yes,7
2720,Russell Square Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2722,Euston Road Express,Store,Express,No,No,1,,,No,,England,Yes,7
2726,Baker Street Express,Store,Express,No,No,1,,,No,,England,Yes,7
2730,Ilford Express,Store,Express,No,No,1,,,No,,England,Yes,7
2745,87 Gloucester Rd Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2747,Islington Metro,Store,Metro,No,Yes,1,,,No,,England,Yes,7
2748,Ipswich Extra,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2751,Ipswich Kesgrave,Store,Superstore,No,No,1,,,No,,England,Yes,7
2757,50 Curzon Street Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2775,124 Tottenham Crt Exp,Store,Express,No,No,1,,,No,,England,Yes,7
2777,Gaywood Kings Lynn,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
2789,Kingscross Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2805,Leyton Express,Store,Express,No,No,1,,,No,,England,Yes,7
2806,Leytonstone,Store,Superstore,No,No,1,,,No,,England,Yes,7
2807,Leigh On Sea Express,Store,Express,No,No,1,,,No,,England,Yes,7
2826,Loampit Vale Express,Store,Express,No,No,1,,,No,,England,Yes,7
2832,Leyton,Store,Superstore,No,No,1,,,No,,England,Yes,7
2848,Lowestoft 2,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2877,Martlesham,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2882,Maldon,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2889,Milton,Store,Superstore,No,No,1,,,No,,England,Yes,7
2948,Norwich Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
2955,Norwich,Store,Extra,Yes,No,1,,,No,,England,Yes,7
2962,Norwich Harford Bridg,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
2986,Lawson Pl Bury St Exp,Store,Express,No,No,1,,,No,,England,Yes,7
