Fixed Trip Id,Start Location,End Location,Drop Location,Target,Sequence,Arrival Time,Visit Type,Vehicle Type,Day of the Week,Day of the Leg,Schedule with Wave,Driver,Product Code,Volume,Flexible Start,Flexible End
25,30053,30053,30102,,2,00:30-01:29,Collection,13m,Monday,Tuesday,2,,7,45,No,No
25,30053,30053,8880030,,3,01:30-02:29,Delivery,13m,Monday,Tuesday,2,,7,45,No,No
25,30053,30053,8880030,,4,02:30-03:29,Collection,13m,Monday,Tuesday,2,,7,45,No,No
26,30053,30053,2708,,1,09:59-10:00,Delivery,rigid8m16t,Tuesday,Tuesday,1,,1,,No,No
26,30053,30053,34517,,2,11:30-12:29,Collection,rigid8m16t,Tuesday,Tuesday,1,,11,15,No,No
26,30053,30053,2708,,3,14:00-14:59,Delivery,rigid8m16t,Tuesday,Tuesday,1,,11,15,No,No
27,30053,30053,7892100,,1,14:00-14:01,Delivery,13m,Tuesday,Tuesday,2,,6,45,No,No
29,30053,30053,2064,,1,01:00-01:59,Delivery,13m,Tuesday,Tuesday,1,,1,,No,No
29,30053,30053,30102,,2,02:00-02:59,Collection,13m,Tuesday,Tuesday,1,,7,45,No,No
29,30053,30053,8880030,,3,03:00-04:59,Delivery,13m,Tuesday,Tuesday,1,,7,45,No,No
29,30053,30053,8880030,,4,04:00-05:59,Collection,13m,Tuesday,Tuesday,1,,7,45,No,No
30,30053,30053,2279,,1,21:29-22:30,Delivery,13m,Tuesday,Tuesday,2,,1,,No,No
30,30053,30053,34515,,2,00:00-00:59,Collection,13m,Tuesday,Wednesday,2,,7,45,No,No
30,30053,30053,6126812,,3,01:00-01:59,Delivery,13m,Tuesday,Wednesday,2,,7,45,No,No
30,30053,30053,6126812,,4,02:00-02:59,Collection,13m,Tuesday,Wednesday,2,,7,45,No,No
31,30053,30053,4480,,1,22:00-22:59,Delivery,13m,Tuesday,Tuesday,2,,1,,No,No
31,30053,30053,30102,,2,00:30-01:29,Collection,13m,Tuesday,Wednesday,2,,7,45,No,No
31,30053,30053,8880030,,3,01:30-02:29,Delivery,13m,Tuesday,Wednesday,2,,7,45,No,No
31,30053,30053,8880030,,4,02:30-03:29,Collection,13m,Tuesday,Wednesday,2,,7,45,No,No
32,30053,30053,2708,,1,09:59-10:00,Delivery,rigid8m16t,Wednesday,Wednesday,1,,8,,No,No
32,30053,30053,2708,,2,09:59-10:00,Delivery,rigid8m16t,Wednesday,Wednesday,1,,1,,No,No
32,30053,30053,34517,,3,11:30-12:29,Collection,rigid8m16t,Wednesday,Wednesday,1,,11,15,No,No
32,30053,30053,2708,,4,14:00-14:59,Delivery,rigid8m16t,Wednesday,Wednesday,1,,11,15,No,No
33,30053,30053,7892100,,1,14:00-14:01,Delivery,13m,Wednesday,Wednesday,2,,6,45,No,No
35,30053,30053,2064,,1,01:00-03:59,Delivery,13m,Wednesday,Wednesday,1,,1,,No,No
