Driver Group,Days,Owner,Driver Class,Driver Trailer Compatibility Override,Start Depot Id,Integrated Fleet Driver,Min Time till Break,Max Duty Time Till Break,Max Driving Time Till Break,Break Length,Driver Min Duty Time,Driver Min Duty Time Cost,Incremental Time Interval,Incremental Time Interval Cost,Driver Vehicle Check Time,Driver Debrief Time,Multi Trip Vehicle Check Time,Driver Vehicle Refuel Time,Max No of Trips
Tesco Fixedfroz,2,Tesco,Class 1,,68807,No,04:30,06:00,04:30,00:45,08:30,0,60,0,00:45,00:15,00:33,00:15,3
Tesco,1,Tesco,Class 1,,30052,No,04:30,06:00,04:30,00:45,10:15,0,60,12.9,00:45,00:15,00:33,00:15,1
Tesco,2,Tesco,Class 1,,30052,No,04:30,06:00,04:30,00:45,10:15,0,60,12.9,00:45,00:15,00:45,00:15,1
Tesco Fixedfroz,1,Tesco,Class 1,,30052,No,04:30,06:00,04:30,00:45,10:15,0,60,12.9,00:45,00:15,00:33,00:15,3
Tesco Fixedfroz,2,Tesco,Class 1,,30052,No,04:30,06:00,04:30,00:45,10:15,0,60,12.9,00:45,00:15,00:33,00:15,3
Tesco Fixedfroz,1,Tesco,Class 1,,38111,No,04:30,06:00,04:30,00:45,08:30,0,60,0,00:30,00:15,00:33,00:15,3
Tesco Fixedfroz,2,Tesco,Class 1,,38111,No,04:30,06:00,04:30,00:45,08:30,0,60,0,00:30,00:15,00:33,00:15,3
Haulier,1,Haulier,Class 1,,30052,No,04:30,06:00,04:30,00:45,10:00,200,60,20,00:45,00:15,00:33,00:15,1
Haulier,2,Haulier,Class 1,,30052,No,04:30,06:00,04:30,00:45,10:00,200,60,20,00:45,00:15,00:33,00:15,1
Tesco,1,Tesco,Class 1,,37198,No,04:30,06:00,04:30,00:45,08:30,0,60,0,00:45,00:15,00:33,00:15,3
Tesco,2,Tesco,Class 1,,37198,No,04:30,06:00,04:30,00:45,08:30,0,60,0,00:45,00:15,00:33,00:15,3
Agency 08T20,1,Agency,Class 1,,37198,No,04:30,06:00,04:30,00:45,08:30,128,60,0,00:45,00:15,00:33,00:15,3
Agency 20T2359,1,Agency,Class 1,,37198,No,04:30,06:00,04:30,00:45,08:30,128,60,0,00:45,00:15,00:33,00:15,3
Agency 00T05,2,Agency,Class 1,,37198,No,04:30,06:00,04:30,00:45,08:30,128,60,0,00:45,00:15,00:33,00:15,3
Agency 0530T0730,2,Agency,Class 1,,37198,No,04:30,06:00,04:30,00:45,08:30,128,60,0,00:45,00:15,00:33,00:15,3
