Location Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
2282,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2282,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2302,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2305,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2305,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2313,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2313,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2318,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2318,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2319,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2319,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2321,1,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00
2321,8,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00
2322,1,06:00,06:00,06:00,06:00,06:00,06:00,08:00,08:00
2322,8,06:00,06:00,06:00,06:00,06:00,06:00,08:00,08:00
2323,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2325,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2328,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2334,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2334,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2335,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2338,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2338,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2339,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2339,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2341,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2341,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2344,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2347,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2347,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2355,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2364,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2364,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2366,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2367,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2368,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2369,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2372,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2374,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2374,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2379,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2379,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2380,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2381,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2384,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2385,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2385,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2386,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2404,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2413,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2413,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2415,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2415,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2415,10,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2423,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2423,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2425,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
